TreatmentGroup,Generations,AlleleDistrobution,PopulationSize,Number of alleles,RealNumberOfLoci,EstimatedNumberOfLoci,Fis,AverageShanPerIndi-1Hi,TotalShanOfPop-1Hs,Average1HiOver1Hs,AverageHighestAlleleCountPerIndividual,VarOfIndiSHAN,Number of Fixed loci,AverageRichPerIndi-0Hi,TotalRichOfPop-0Hs,VarOfIndiRICH,AverageHetPerIndi-2Hi,TotalHetOfPop-2Hs,VarOfIndiHET,EyePRime,Pee,Eye,Ell,Ohh,LOC OR AL,IndiEveness,PopEveness,Fis,Sis
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.058243767,1.29913854,1.807692047,0.718672488,2.45,0.03909876,ERROR with this fucntion atm,-3.05,9,0.4475,0.697222222,0.784583333,0.005084877,"[0.3000000000000001, '9', '4.05', 3.0, '0.44999999999999996']",,,,,9,0.59126343,0.822716105,-0.058243767,0.281327512
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.058247472,1.310803919,1.998406528,0.655924558,2.375,0.090202828,ERROR with this fucntion atm,-3.1,9,1.04,0.698611111,0.845625,0.011248071,"[0.2666666666666669, '9', '4.1', 3.0, '0.4555555555555555']",,,,,9,0.596572573,0.909514006,0.058247472,0.344075442
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.005402905,1.279742586,1.866780771,0.68553448,2.375,0.065568619,ERROR with this fucntion atm,-2.95,10,0.7475,0.693055556,0.804236111,0.008485725,"[0.36666666666666653, '10', '3.95', 3.0, '0.395']",,,,,10,0.555785143,0.810732588,0.005402905,0.31446552
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.136069423,1.345461278,2.128955098,0.631981989,2.2,0.083308709,ERROR with this fucntion atm,-3.2,10,1.11,0.7125,0.870451389,0.008933256,"[0.19999999999999987, '10', '4.2', 3.0, '0.42000000000000004']",,,,,10,0.584326409,0.924593451,0.136069423,0.368018011
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.172273518,1.266009932,2.149689972,0.588926752,2.5,0.096229331,ERROR with this fucntion atm,-2.95,10,1.0975,0.683333333,0.867604167,0.012222222,"[0.36666666666666653, '10', '3.95', 3.0, '0.395']",,,,,10,0.549821128,0.933598493,0.172273518,0.411073248
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.037936077,1.473302636,2.196085201,0.670876811,1.9,0.053012992,ERROR with this fucntion atm,-3.65,10,0.9275,0.754166667,0.873923611,0.003532022,"[-0.10000000000000024, '10', '4.65', 3.0, '0.465']",,,,,10,0.639847205,0.953747685,0.037936077,0.329123189
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.014531277,1.484090714,2.161311715,0.686662041,1.9,0.058702451,ERROR with this fucntion atm,-3.725,10,0.999375,0.754166667,0.871909722,0.004149306,"[-0.14999999999999977, '10', '4.725', 3.0, '0.4725']",,,,,10,0.644532408,0.938645752,0.014531277,0.313337959
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.018112554,1.388726514,2.083900594,0.666407274,2.1,0.050134568,ERROR with this fucntion atm,-3.35,9,0.8275,0.727777778,0.863784722,0.00382716,"[0.10000000000000024, '9', '4.35', 3.0, '0.4833333333333333']",,,,,9,0.632036674,0.948424032,-0.018112554,0.333592726
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.003045086,1.442241303,2.198774013,0.655929757,1.9,0.070503838,ERROR with this fucntion atm,-3.55,10,1.1475,0.743055556,0.879409722,0.005661651,"[-0.033333333333333215, '10', '4.55', 3.0, '0.45499999999999996']",,,,,10,0.626357439,0.954915421,-0.003045086,0.344070243
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.014833715,1.427744274,2.020213601,0.706729364,2.05,0.07932959,ERROR with this fucntion atm,-3.525,10,1.199375,0.736111111,0.842743056,0.006905864,"[-0.016666666666666902, '10', '4.525', 3.0, '0.4525']",,,,,10,0.62006146,0.877367619,-0.014833715,0.293270636
